cycle,time_ns,in0_spk,in1_spk,n0_spk,n1_spk,n0_v_real,n1_v_real
310,3205.000000,0,0,0,0,0.000000,0.000000
311,3215.000000,0,0,0,0,0.000000,0.000000
312,3225.000000,0,0,0,0,0.368896,0.687500
313,3235.000000,0,0,0,1,0.693359,0.000000
314,3245.000000,0,0,1,0,0.000000,0.000000
315,3255.000000,0,0,0,0,0.000000,0.000000
316,3265.000000,0,0,0,0,0.000000,0.000000
317,3275.000000,0,0,0,0,0.000000,0.000000
318,3285.000000,0,0,0,0,0.000000,0.424072
319,3295.000000,0,0,0,0,0.261475,0.798096
320,3305.000000,0,0,0,1,0.491455,0.000000
321,3315.000000,0,0,0,0,0.692871,0.000000
322,3325.000000,0,0,0,0,0.868408,0.000000
323,3335.000000,0,0,1,0,0.000000,0.000000
324,3345.000000,0,0,0,0,0.000000,0.000000
325,3355.000000,0,0,0,0,0.000000,0.240234
326,3365.000000,0,0,0,0,0.000000,0.451904
327,3375.000000,0,0,0,0,0.000000,0.637451
328,3385.000000,0,0,0,0,0.122803,0.799561
329,3395.000000,0,0,0,0,0.230469,0.940430
330,3405.000000,0,0,0,1,0.324951,0.000000
331,3415.000000,0,0,0,0,0.406982,0.000000
332,3425.000000,1,1,0,0,0.478027,0.000000
333,3435.000000,1,1,0,0,0.539062,0.000000
334,3445.000000,1,1,0,0,0.591064,0.000000
335,3455.000000,0,1,0,0,0.943604,0.462891
336,3465.000000,0,0,1,1,0.000000,0.000000
337,3475.000000,0,0,0,0,0.000000,0.000000
338,3485.000000,0,0,0,0,0.000000,0.000000
339,3495.000000,0,0,0,0,0.000000,0.000000
340,3505.000000,0,0,0,0,0.000000,0.000000
341,3515.000000,0,0,0,0,0.975342,0.930176
342,3525.000000,0,0,1,1,0.000000,0.000000
343,3535.000000,0,0,0,0,0.000000,0.000000
344,3545.000000,0,0,0,0,0.000000,0.000000
345,3555.000000,0,0,0,0,0.000000,0.000000
346,3565.000000,0,0,0,0,0.000000,0.000000
347,3575.000000,0,0,0,0,0.590576,0.547852
348,3585.000000,0,0,1,1,0.000000,0.000000
349,3595.000000,0,0,0,0,0.000000,0.000000
350,3605.000000,0,0,0,0,0.000000,0.000000
351,3615.000000,0,0,0,0,0.000000,0.000000
352,3625.000000,0,0,0,0,0.000000,0.000000
353,3635.000000,0,0,0,0,0.357422,0.343994
354,3645.000000,0,0,0,0,0.671631,0.648193
355,3655.000000,0,0,0,0,0.946777,0.916016
356,3665.000000,0,0,1,1,0.000000,0.000000
357,3675.000000,0,0,0,0,0.000000,0.000000
358,3685.000000,0,0,0,0,0.000000,0.000000
359,3695.000000,0,0,0,0,0.000000,0.000000
360,3705.000000,0,0,0,0,0.000000,0.000000
361,3715.000000,0,0,0,0,0.182373,0.182373
362,3725.000000,0,0,0,0,0.342773,0.343262
363,3735.000000,0,0,0,0,0.482910,0.484375
364,3745.000000,0,0,0,0,0.604980,0.607910
365,3755.000000,0,0,0,0,0.710693,0.715576
366,3765.000000,0,0,0,0,0.801758,0.808594
367,3775.000000,0,0,0,0,0.879395,0.888428
368,3785.000000,0,0,0,0,0.944824,0.956299
369,3795.000000,0,0,0,1,0.999512,0.000000
370,3805.000000,0,0,1,0,0.000000,0.000000
371,3815.000000,0,0,0,0,0.000000,0.000000
372,3825.000000,0,0,0,0,0.000000,0.000000
373,3835.000000,0,0,0,0,0.000000,0.000000
374,3845.000000,0,0,0,0,0.000000,0.063232
375,3855.000000,0,0,0,0,0.055664,0.118652
376,3865.000000,0,0,0,0,0.104248,0.167236
377,3875.000000,0,0,0,0,0.146729,0.209717
378,3885.000000,0,0,0,0,0.183594,0.246582
379,3895.000000,0,0,0,0,0.215332,0.278320
380,3905.000000,0,0,0,0,0.242676,0.305664
381,3915.000000,0,0,0,0,0.266113,0.328857
382,3925.000000,0,0,0,0,0.285889,0.348389
383,3935.000000,0,0,0,0,0.302246,0.364258
384,3945.000000,0,0,0,0,0.315430,0.377197
385,3955.000000,0,0,0,0,0.325928,0.387207
386,3965.000000,0,0,0,0,0.333984,0.394531
387,3975.000000,0,0,0,0,0.340088,0.399658
388,3985.000000,0,0,0,0,0.344238,0.402832
