cycle,time_ns,i_in_real,v_mem_real,exp_vmem_real,exp_vmem_pre_real,spike,exp_spike,exc_delayed_real,inh_delayed_real
124,1285.000000,0.000000,0.798340,0.798340,0.798340,0,0,0.000000,0.000000
125,1295.000000,0.000000,0.766357,0.766357,0.766357,0,0,0.000000,0.000000
126,1305.000000,0.000000,0.735596,0.735596,0.735596,0,0,0.000000,0.000000
127,1315.000000,0.000000,0.706055,0.706055,0.706055,0,0,0.000000,0.000000
128,1325.000000,0.000000,0.677734,0.677734,0.677734,0,0,0.000000,0.000000
129,1335.000000,0.000000,0.650391,0.650391,0.650391,0,0,0.000000,0.000000
130,1345.000000,0.000000,0.624268,0.624268,0.624268,0,0,0.000000,0.000000
131,1355.000000,-0.250000,0.599121,0.599121,0.599121,0,0,0.000000,0.250000
132,1365.000000,0.449951,0.324951,0.324951,0.324951,0,0,0.449951,0.000000
133,1375.000000,0.449951,0.761719,0.761719,0.761719,0,0,0.449951,0.000000
134,1385.000000,0.000000,0.000000,0.000000,1.181152,1,1,0.000000,0.000000
135,1395.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
136,1405.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
137,1415.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
138,1425.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
139,1435.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
140,1445.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
141,1455.000000,0.449951,0.000000,0.000000,0.000000,0,0,0.449951,0.000000
142,1465.000000,0.000000,0.449951,0.449951,0.449951,0,0,0.000000,0.000000
143,1475.000000,0.000000,0.431885,0.431885,0.431885,0,0,0.000000,0.000000
144,1485.000000,0.000000,0.414551,0.414551,0.414551,0,0,0.000000,0.000000
145,1495.000000,0.000000,0.397949,0.397949,0.397949,0,0,0.000000,0.000000
146,1505.000000,0.000000,0.381836,0.381836,0.381836,0,0,0.000000,0.000000
147,1515.000000,0.449951,0.366455,0.366455,0.366455,0,0,0.449951,0.000000
148,1525.000000,0.000000,0.801514,0.801514,0.801514,0,0,0.000000,0.000000
149,1535.000000,0.000000,0.769287,0.769287,0.769287,0,0,0.000000,0.000000
150,1545.000000,0.000000,0.738281,0.738281,0.738281,0,0,0.000000,0.000000
151,1555.000000,0.000000,0.708496,0.708496,0.708496,0,0,0.000000,0.000000
152,1565.000000,0.000000,0.679932,0.679932,0.679932,0,0,0.000000,0.000000
153,1575.000000,0.000000,0.652588,0.652588,0.652588,0,0,0.000000,0.000000
154,1585.000000,0.000000,0.626221,0.626221,0.626221,0,0,0.000000,0.000000
155,1595.000000,0.000000,0.601074,0.601074,0.601074,0,0,0.000000,0.000000
156,1605.000000,0.000000,0.576904,0.576904,0.576904,0,0,0.000000,0.000000
157,1615.000000,0.000000,0.553711,0.553711,0.553711,0,0,0.000000,0.000000
158,1625.000000,0.000000,0.531494,0.531494,0.531494,0,0,0.000000,0.000000
159,1635.000000,0.000000,0.510010,0.510010,0.510010,0,0,0.000000,0.000000
160,1645.000000,0.000000,0.489502,0.489502,0.489502,0,0,0.000000,0.000000
161,1655.000000,0.000000,0.469727,0.469727,0.469727,0,0,0.000000,0.000000
162,1665.000000,0.000000,0.450684,0.450684,0.450684,0,0,0.000000,0.000000
163,1675.000000,0.000000,0.432617,0.432617,0.432617,0,0,0.000000,0.000000
164,1685.000000,0.000000,0.415283,0.415283,0.415283,0,0,0.000000,0.000000
165,1695.000000,0.000000,0.398438,0.398438,0.398438,0,0,0.000000,0.000000
166,1705.000000,0.000000,0.382324,0.382324,0.382324,0,0,0.000000,0.000000
167,1715.000000,0.000000,0.366943,0.366943,0.366943,0,0,0.000000,0.000000
168,1725.000000,-0.250000,0.352051,0.352051,0.352051,0,0,0.000000,0.250000
169,1735.000000,0.449951,0.087891,0.087891,0.087891,0,0,0.449951,0.000000
170,1745.000000,0.449951,0.534180,0.534180,0.534180,0,0,0.449951,0.000000
171,1755.000000,0.000000,0.962646,0.962646,0.962646,0,0,0.000000,0.000000
172,1765.000000,0.000000,0.924072,0.924072,0.924072,0,0,0.000000,0.000000
173,1775.000000,0.000000,0.886963,0.886963,0.886963,0,0,0.000000,0.000000
174,1785.000000,0.000000,0.851318,0.851318,0.851318,0,0,0.000000,0.000000
175,1795.000000,0.000000,0.817139,0.817139,0.817139,0,0,0.000000,0.000000
176,1805.000000,0.000000,0.784180,0.784180,0.784180,0,0,0.000000,0.000000
177,1815.000000,0.000000,0.752686,0.752686,0.752686,0,0,0.000000,0.000000
178,1825.000000,0.000000,0.722412,0.722412,0.722412,0,0,0.000000,0.000000
179,1835.000000,0.000000,0.693359,0.693359,0.693359,0,0,0.000000,0.000000
180,1845.000000,0.000000,0.665527,0.665527,0.665527,0,0,0.000000,0.000000
181,1855.000000,0.000000,0.638672,0.638672,0.638672,0,0,0.000000,0.000000
182,1865.000000,0.000000,0.613037,0.613037,0.613037,0,0,0.000000,0.000000
183,1875.000000,0.000000,0.588379,0.588379,0.588379,0,0,0.000000,0.000000
184,1885.000000,0.000000,0.564697,0.564697,0.564697,0,0,0.000000,0.000000
185,1895.000000,0.000000,0.541992,0.541992,0.541992,0,0,0.000000,0.000000
186,1905.000000,0.000000,0.520264,0.520264,0.520264,0,0,0.000000,0.000000
187,1915.000000,0.000000,0.499268,0.499268,0.499268,0,0,0.000000,0.000000
188,1925.000000,0.000000,0.479248,0.479248,0.479248,0,0,0.000000,0.000000
189,1935.000000,0.000000,0.459961,0.459961,0.459961,0,0,0.000000,0.000000
190,1945.000000,0.000000,0.441406,0.441406,0.441406,0,0,0.000000,0.000000
191,1955.000000,0.000000,0.423584,0.423584,0.423584,0,0,0.000000,0.000000
192,1965.000000,0.000000,0.406494,0.406494,0.406494,0,0,0.000000,0.000000
193,1975.000000,0.000000,0.390137,0.390137,0.390137,0,0,0.000000,0.000000
194,1985.000000,0.000000,0.374512,0.374512,0.374512,0,0,0.000000,0.000000
195,1995.000000,0.000000,0.359375,0.359375,0.359375,0,0,0.000000,0.000000
196,2005.000000,0.000000,0.344971,0.344971,0.344971,0,0,0.000000,0.000000
197,2015.000000,0.000000,0.331055,0.331055,0.331055,0,0,0.000000,0.000000
198,2025.000000,0.000000,0.317627,0.317627,0.317627,0,0,0.000000,0.000000
199,2035.000000,0.000000,0.304688,0.304688,0.304688,0,0,0.000000,0.000000
200,2045.000000,0.000000,0.292480,0.292480,0.292480,0,0,0.000000,0.000000
201,2055.000000,0.000000,0.280762,0.280762,0.280762,0,0,0.000000,0.000000
202,2065.000000,0.000000,0.269287,0.269287,0.269287,0,0,0.000000,0.000000
203,2075.000000,0.000000,0.258301,0.258301,0.258301,0,0,0.000000,0.000000
204,2085.000000,-0.250000,0.247803,0.247803,0.247803,0,0,0.000000,0.250000
205,2095.000000,0.449951,-0.012207,-0.012207,-0.012207,0,0,0.449951,0.000000
206,2105.000000,0.449951,0.438232,0.438232,0.438232,0,0,0.449951,0.000000
207,2115.000000,0.000000,0.870605,0.870605,0.870605,0,0,0.000000,0.000000
208,2125.000000,0.000000,0.835693,0.835693,0.835693,0,0,0.000000,0.000000
209,2135.000000,0.000000,0.802002,0.802002,0.802002,0,0,0.000000,0.000000
210,2145.000000,0.000000,0.769775,0.769775,0.769775,0,0,0.000000,0.000000
211,2155.000000,0.000000,0.738770,0.738770,0.738770,0,0,0.000000,0.000000
212,2165.000000,0.000000,0.708984,0.708984,0.708984,0,0,0.000000,0.000000
213,2175.000000,0.000000,0.680420,0.680420,0.680420,0,0,0.000000,0.000000
214,2185.000000,0.000000,0.653076,0.653076,0.653076,0,0,0.000000,0.000000
215,2195.000000,0.449951,0.626709,0.626709,0.626709,0,0,0.449951,0.000000
216,2205.000000,0.000000,0.000000,0.000000,1.051514,1,1,0.000000,0.000000
217,2215.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
218,2225.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
219,2235.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
220,2245.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
221,2255.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000
222,2265.000000,-0.250000,0.000000,0.000000,0.000000,0,0,0.000000,0.250000
223,2275.000000,0.199951,-0.250000,-0.250000,-0.250000,0,0,0.449951,0.250000
224,2285.000000,0.449951,-0.040039,-0.040039,-0.040039,0,0,0.449951,0.000000
225,2295.000000,0.449951,0.411377,0.411377,0.411377,0,0,0.449951,0.000000
226,2305.000000,0.000000,0.844727,0.844727,0.844727,0,0,0.000000,0.000000
227,2315.000000,0.000000,0.810791,0.810791,0.810791,0,0,0.000000,0.000000
228,2325.000000,0.000000,0.778320,0.778320,0.778320,0,0,0.000000,0.000000
229,2335.000000,0.000000,0.747070,0.747070,0.747070,0,0,0.000000,0.000000
230,2345.000000,0.000000,0.717041,0.717041,0.717041,0,0,0.000000,0.000000
231,2355.000000,0.000000,0.688232,0.688232,0.688232,0,0,0.000000,0.000000
232,2365.000000,0.000000,0.660645,0.660645,0.660645,0,0,0.000000,0.000000
