cycle,time_ns,scene,in0_spk,in1_spk,n0_spk,n1_spk,n0_v_real,n1_v_real,n0_i_real,n1_i_real,n0_g_exc_real,n1_g_exc_real
106,1060.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.395752,-0.412842,0.032227,0.000000
107,1070.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.428711,-0.412842,0.029541,0.000000
108,1080.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.459961,-0.412842,0.027100,0.000000
109,1090.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.489990,-0.412842,0.024902,0.000000
110,1100.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.518311,-0.412842,0.022705,0.000000
111,1110.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.545166,-0.412842,0.020752,0.000000
112,1120.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.570801,-0.412842,0.019043,0.000000
113,1130.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.594971,-0.412842,0.017334,0.000000
114,1140.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.617920,-0.412842,0.015869,0.000000
115,1150.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.639404,-0.412842,0.014404,0.000000
116,1160.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.659912,-0.412842,0.013184,0.000000
117,1170.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.679199,-0.412842,0.011963,0.000000
118,1180.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.697510,-0.412842,0.010986,0.000000
119,1190.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.714844,-0.412842,0.010010,0.000000
120,1200.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.731201,-0.412842,0.009033,0.000000
121,1210.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.746826,-0.412842,0.008301,0.000000
122,1220.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.761475,-0.412842,0.007568,0.000000
123,1230.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.775391,-0.412842,0.006836,0.000000
124,1240.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.788818,-0.412842,0.006104,0.000000
125,1250.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.801270,-0.412842,0.005371,0.000000
126,1260.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.812988,-0.412842,0.004883,0.000000
127,1270.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.823975,-0.412842,0.004395,0.000000
128,1280.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.834473,-0.412842,0.003906,0.000000
129,1290.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.844482,-0.412842,0.003418,0.000000
130,1300.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.854004,-0.412842,0.002930,0.000000
131,1310.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.862793,-0.412842,0.002686,0.000000
132,1320.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.871094,-0.412842,0.002441,0.000000
133,1330.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.878906,-0.412842,0.002197,0.000000
134,1340.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.886230,-0.412842,0.001953,0.000000
135,1350.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.893311,-0.412842,0.001709,0.000000
136,1360.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.899902,-0.412842,0.001465,0.000000
137,1370.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.906250,-0.412842,0.001221,0.000000
138,1380.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.912354,-0.412842,0.000977,0.000000
139,1390.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.917969,-0.412842,0.000732,0.000000
140,1400.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.923340,-0.412842,0.000488,0.000000
141,1410.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.928223,-0.412842,0.000244,0.000000
142,1420.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.932617,-0.412842,0.000000,0.000000
143,1430.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.936768,-0.412842,0.000000,0.000000
144,1440.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.940674,-0.412842,0.000000,0.000000
145,1450.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.944336,-0.412842,0.000000,0.000000
146,1460.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.947754,-0.412842,0.000000,0.000000
147,1470.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.950928,-0.412842,0.000000,0.000000
148,1480.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.954102,-0.412842,0.000000,0.000000
149,1490.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.957031,-0.412842,0.000000,0.000000
150,1500.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.959961,-0.412842,0.000000,0.000000
151,1510.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.962646,-0.412842,0.000000,0.000000
152,1520.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.965088,-0.412842,0.000000,0.000000
153,1530.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.967285,-0.412842,0.000000,0.000000
154,1540.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.969238,-0.412842,0.000000,0.000000
155,1550.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.970947,-0.412842,0.000000,0.000000
156,1560.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.972412,-0.412842,0.000000,0.000000
157,1570.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.973633,-0.412842,0.000000,0.000000
158,1580.000000,step_drive,1,0,0,0,-8.000000,-8.000000,-2.974609,-0.412842,0.000000,0.000000
